name,position,velocity,effort,timestamp_nsecs
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.00542901956265518, 0.029187093910040318, -0.008995806872754596, -0.001086131922045769, -0.01985917052636288, 0.03431351199309235, -0.003262196165203259, 0.0006107923652559804, 0.00871532188826208, -0.0019273574561900486, 0.015263921903483968, -0.0023521326049889867, -0.009186961593372815, 0.0013417964067154453, 0.008152922111392236, -0.00461830863000318, 0.0011172234526513444, -0.0027483798124419982, 0.010199717365142288, 0.007819432558985496, -0.0022876535861371143, 0.008640638959434262, -0.0034048574297142553, -0.009283416918654483)","(0.012717414927214057, 0.012717414927214057, 0.021167285978852972, -0.0001636603064932758, 0.0022181537546032107, 0.0022181537546032107, 0.08168037772945927, -0.0010026064877081025, 0.00021046268839516592, 0.01542398881797548, 0.01542398881797548, 0.07085710697910162, 0.000603918177755374, 0.00368333223956474, 0.00368333223956474, 0.07075853600725025, -0.0009190529278953159, -0.000675366215947837, 0.00021771905335748825, 2.5167955079490658e-06, 0.003315418236625795, 7.074841459771931e-05, -0.002581444738858449, -0.0006625787507011698)","(-157.86592538673372, -157.86592538673372, -45.80701802875672, -10.582840751331826, 14.230800894901076, 14.230800894901076, 19.521547957298214, 0.49245333879050746, -149.61847945829098, -55.09990545722288, -55.09990545722288, 8.048228509443732, 3.42017587039943, -3.656882958466718, -3.656882958466718, 9.657717703769947, 1.718308564277534, -82.1665872116717, -4.936490554513717, 78.49123556817977, -20.078885536681472, -8.169043528569581, -0.08106481099520613, -6.99192556348449)",1678993486702788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.004976601265767211, 0.03184046608368035, -0.006753226550529448, -0.0011130885412213567, -0.01985917052636288, 0.038126124436769326, 0.0018022187215126235, 0.0005404172394181752, 0.008803482037349502, -0.0014455180921425503, 0.019426809695343272, 0.0020088030913066753, -0.009134462446184205, 0.0017890618756206123, 0.027176407037974026, 0.0005301133139125545, 0.0011961394455190907, -0.002752935912199519, 0.01016996450115877, 0.007821582677949728, -0.0022911575857678273, 0.008642664786673422, -0.003369583652827703, -0.009291149062423955)","(0.021456701027811304, 0.021456701027811304, 0.05993289670600628, -0.000612810661492218, 0.00948655072526937, 0.00948655072526937, 0.16361418641933004, -0.0021464908696183366, 0.0018121724487506373, 0.02342667655191399, 0.02342667655191399, 0.14155905988592424, 0.0014905856478427924, 0.02261550110416583, 0.02261550110416583, 0.15588498354105984, 0.0006687099867720937, -0.0006551233403247496, -0.00034215005255673495, 3.345143297445371e-05, 0.002738506257378922, 0.00010416909739305851, -0.0016096825011236362, -0.0007076882047328706)","(-140.93678277962076, -140.93678277962076, -53.66294991158071, -9.47354379250523, -3.994853859333504, -3.994853859333504, 25.52774835014729, -0.3934503887632937, -148.10022201324293, -47.27568573437817, -47.27568573437817, 11.79551668395876, 3.0519149117168105, 1.9929728781068135, 1.9929728781068135, 25.49141429757354, 0.7872115377267829, -81.84112075228118, -5.047695064025023, 78.67453597833968, -20.067271339772674, -8.1963536397618, -1.3026178199887166, -6.993114350422675)",1678993486710788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.004524182968879298, 0.034493838257320386, -0.0023495736542347378, -0.0010839346407559495, -0.019218552122286625, 0.05337657421147707, 0.007623169951071014, 0.000499243143227893, 0.008853738650839509, -0.0019273574561900486, 0.030527843806967936, 0.008373081254907096, -0.009071683257778214, 0.0017890618756206123, 0.05163517337215062, 0.006677404705305959, 0.001219382628314357, -0.0027098515730233797, 0.010204476153897619, 0.007835595254621946, -0.002272020034087755, 0.008654587921020565, -0.0031928200472736666, -0.009308471500148761)","(0.031243224096192755, 0.031243224096192755, 0.1330344765785023, 3.865088224397554e-05, 0.02857440674565354, 0.02857440674565354, 0.2469746018950332, -0.0025804606205960955, 0.0024813366727093555, 0.037920992865738704, 0.037920992865738704, 0.23859072030415512, 0.0024300104246168202, 0.06699214066291093, 0.06699214066291093, 0.24656048698577063, 0.0010028521508835752, 0.0002520727896187612, 0.0003453777295574747, 0.00029023523132542243, 0.002689327905067575, 0.00031460510224098383, 0.0017125729699729868, -0.0009284212980563153)","(-125.22902619053687, -125.22902619053687, -61.52368432366358, -8.367150286788876, -22.446921112024796, -22.446921112024796, 31.327009197822292, -0.7055019618338199, -147.05402304855758, -38.75718906200354, -38.75718906200354, 14.035812877055855, 2.315274264455356, 6.899514440773349, 6.899514440773349, 37.31944283918316, 0.25078266009526196, -81.49799852866487, -4.965952896811055, 79.02379401416154, -20.057312399875922, -8.22001950786667, -1.179387519964708, -6.994133711275638)",1678993486718788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.003166928078215503, 0.03847389651778044, 0.004543345963995871, -0.0010395262013759838, -0.018577933718210426, 0.07625224887353865, 0.013422346618370214, 0.00043489547229263114, 0.008908396696687594, -0.0009636787280949966, 0.06938146319765442, 0.01539719058540063, -0.008989920482217856, 0.002236327344525779, 0.0788115804101246, 0.013086485373761086, 0.0012616382445605966, -0.0027334231238113405, 0.010171354049005668, 0.007846768739374128, -0.002262419166444409, 0.008638923132661193, -0.003130021249769609, -0.009317477460426134)","(0.044434129386388986, 0.044434129386388986, 0.24137294194269202, 0.0008806779404384102, 0.070365893178262, 0.070365893178262, 0.3176792531965337, -0.0034059732193677202, 0.003127302703595723, 0.08775831945853646, 0.08775831945853646, 0.333199619771781, 0.0036027341591779085, 0.1359803786838145, 0.1359803786838145, 0.3286282943935308, 0.0016110490561560497, -0.0001926506107398379, -0.0003037899050073604, 0.0004503251392429798, 0.002478719626551684, -2.4282898810684607e-05, 0.002639841438892199, -0.0009562624160934084)","(-109.89536349816477, -109.89536349816477, -67.71798550251475, -7.462677310135107, -38.17395417176435, -38.17395417176435, 37.782869675926705, -0.7146922790846545, -146.0840179601157, -32.17749593022283, -32.17749593022283, 15.953289882412816, 1.2825672355143967, 10.371387973968838, 10.371387973968838, 46.075391781032785, 0.009078366643152702, -81.3541261959274, -4.638027541297191, 79.05636164814602, -20.048845260180304, -8.223702796611295, -1.2144099060984965, -6.995000376887818)",1678993486726788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.002262091484439621, 0.04643401303870048, 0.013219657863198866, -0.000968720465118063, -0.018577933718210426, 0.09785705272104128, 0.01933125932079134, 0.0003398725517434753, 0.008929375782406108, 0.0, 0.09158353142090386, 0.023055385546695752, -0.008900291984321618, 0.0017890618756206123, 0.0896821432253142, 0.01948642051457598, 0.0013086485610016476, -0.002692176873875668, 0.010205770410051994, 0.007839658225039348, -0.002306806215909333, 0.008630415796106013, -0.003036069241724998, -0.009335635466287233)","(0.06295508971627514, 0.06295508971627514, 0.3660832341547143, 0.0020680722194921807, 0.13294267805248144, 0.13294267805248144, 0.3797023789807772, -0.004658929338424701, 0.003052850556343225, 0.16695619534749687, 0.16695619534749687, 0.42546243680990176, 0.004720576219805669, 0.20677697572963988, 0.20677697572963988, 0.3980200455093452, 0.0022287138890006264, 0.0006273976953229937, 0.0003767017581639875, 0.00025456861772831435, 0.0012849409955115656, -0.0001830622764685026, 0.004097737380667665, -0.0011438513307670903)","(-92.8308416581459, -92.8308416581459, -70.1527668582677, -6.758275532689271, -50.174716146953486, -50.174716146953486, 42.17335297313347, -0.6022288222484456, -145.86793489225553, -29.764892933686564, -29.764892933686564, 16.213020575934596, 0.09207940410674709, 12.559658421103874, 12.559658421103874, 50.96453056610894, -0.16239561507633288, -81.11774503504253, -4.506519171866209, 78.98710950766534, -20.00326147802604, -8.190504668305273, 0.016230093297602666, -6.995742335111292)",1678993486734788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.001809673187551708, 0.05970087390690065, 0.021786480677133256, -0.0008886364865906788, -0.018577933718210426, 0.11056576086663106, 0.02509499941180928, 0.00026054417677168993, 0.00902850086517357, 0.0004818393640474983, 0.10268456553252858, 0.03127087204153334, -0.008806483019793776, 0.0017890618756206123, 0.09239978392911158, 0.02519937245315103, 0.0013373000523734446, -0.002680936661508964, 0.010199952347364065, 0.00784478866184397, -0.002284832124785603, 0.00864365860249621, -0.0028640598295071812, -0.009335679674999249)","(0.09013884741766706, 0.09013884741766706, 0.47020053745650114, 0.003240314214886725, 0.19668308138733084, 0.19668308138733084, 0.43013153831498785, -0.0054236891698143715, 0.004438219969887694, 0.24218772179691053, 0.24218772179691053, 0.5145633306252104, 0.005727430107764628, 0.2601704780207962, 0.2601704780207962, 0.4446690779593085, 0.0024236739161364656, 0.0007452958150580534, 0.0001811735902570729, 0.0003070198858063794, 0.0015328658661743501, 8.40109811748171e-05, 0.006760352861897679, -0.0009757942956631018)","(-77.68045488100003, -77.68045488100003, -72.38568411610106, -6.075610767856186, -58.6645834225111, -58.6645834225111, 44.5560312755897, -0.5061224754018594, -146.0417799809114, -28.73846585417541, -28.73846585417541, 13.912419851098905, -0.6966951456087515, 14.533077242169824, 14.533077242169824, 56.056264191292875, -0.28488984495103864, -80.95087441107474, -4.357858215171075, 79.11614733274892, -19.98295669437207, -8.236390255853179, 2.115510561585573, -6.99637091549567)",1678993486742788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.001357254890663795, 0.07429442086192078, 0.029415051146964372, -0.0008214731588332676, -0.017937315314134172, 0.11437837331030798, 0.03033637067203261, 0.00017401952964045457, 0.009099145676956305, 0.0004818393640474983, 0.10545982406043475, 0.03901836147448594, -0.00870638300739736, 0.0017890618756206123, 0.09511742463290895, 0.03022160820533231, 0.0013517224151134255, -0.002671596072853602, 0.010199329554976572, 0.00783729480188552, -0.0023242475847366213, 0.008646531585918583, -0.0027540778224175765, -0.0093408561604812)","(0.1287675436958737, 0.1287675436958737, 0.5415038934510797, 0.00397558281409604, 0.24899422573827112, 0.24899422573827112, 0.4633082280622321, -0.006188224967900037, 0.005085547039421441, 0.29799607114502874, 0.29799607114502874, 0.5814854580069408, 0.006711747498976273, 0.2986711368170905, 0.2986711368170905, 0.4716482807859138, 0.0023480585727089615, 0.0008009893142883357, 0.0001859517853287542, 0.00011401832975977844, 0.0006066640137945977, 0.00015620279727663513, 0.007785535760280309, -0.000925868611030381)","(-64.725036821871, -64.725036821871, -75.2719222009526, -5.529049099646667, -66.08399166783497, -66.08399166783497, 47.39836448591726, -0.4945812112127902, -146.14926882212654, -27.804374453440037, -27.804374453440037, 11.420942959222941, -1.5338962225949477, 16.676037564073734, 16.676037564073734, 62.65424956573119, -0.5364263782222086, -80.64742417825026, -4.226531617693176, 79.44825860355235, -20.041920825601046, -8.201466760705118, 3.323889235135122, -6.996907064139451)",1678993486750788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.0009048365937758263, 0.08888796781694097, 0.03605819789272391, -0.0007639788714227698, -0.017937315314134172, 0.12200359819766182, 0.03511256286183818, 0.0001181305105327396, 0.00913267866588432, 0.0004818393640474983, 0.10407219479648167, 0.0456524264812451, -0.008611438344184692, 0.002236327344525779, 0.10598798744809856, 0.03471356706775205, 0.0013636833651182987, -0.0026793626919532692, 0.010228384685167846, 0.007854355523337077, -0.0022435591072675733, 0.008662647180738945, -0.0026625044140400796, -0.009345534643864306)","(0.17402846527010515, 0.17402846527010515, 0.5839275446017381, 0.004447833852323019, 0.289090991305095, 0.289090991305095, 0.4829602507565175, -0.006310693823836703, 0.0049579944418808135, 0.33355899068238354, 0.33355899068238354, 0.6178080400499897, 0.007452279864252512, 0.33019026637673754, 0.33019026637673754, 0.48481538909759225, 0.0022282095438247293, 0.0005418128573513599, 0.000694366046791233, 0.00040735897406578937, 0.0019880946300180097, 0.0004248947411910377, 0.008299054404668427, -0.0008803449319843234)","(-53.26376327978018, -53.26376327978018, -76.78188220125621, -5.043744919718697, -73.51050171186488, -73.51050171186488, 51.292763929837356, -0.23658832888846265, -146.4804874279844, -25.557191513715008, -25.557191513715008, 9.475328467195782, -2.291096471173038, 18.908769831173252, 18.908769831173252, 69.3393820579335, -0.7717132358693235, -80.41613286240083, -4.010238592480395, 79.61123970871752, -20.035719749107592, -8.245115525524515, 5.0946892059496705, -6.997364582129272)",1678993486758788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.00045241829688791313, 0.10082814259832107, 0.04177396620760361, -0.0007141411206046788, -0.017937315314134172, 0.13089969389957468, 0.03953364147350678, 3.136002338709464e-05, 0.009173802847480272, 0.0004818393640474983, 0.10545982406043475, 0.0512797705690232, -0.008520262970762171, 0.002236327344525779, 0.11685855026328817, 0.03888184402382667, 0.0014182117701254607, -0.002632397682083002, 0.010224156646663627, 0.007840325171383885, -0.0023211230151553544, 0.008671151461316397, -0.0025161451351545924, -0.009354557043093879)","(0.22211981505096573, 0.22211981505096573, 0.6029567941070607, 0.0047085568381776445, 0.323455569532075, 0.323455569532075, 0.4931806279263424, -0.006971710908474827, 0.004969388695817325, 0.35230106861646454, 0.35230106861646454, 0.6301741028373589, 0.00802814610943016, 0.36051258749703285, 0.36051258749703285, 0.49006986912174894, 0.00291120860764597, 0.0013113465870975495, 0.0005451227642193912, 9.423711769353198e-05, 0.00023257640227573057, 0.0005083272060277525, 0.0098308407389976, -0.0009202658629814651)","(-43.45566301212827, -43.45566301212827, -77.92330846484342, -4.628926398139112, -80.20316282105046, -80.20316282105046, 55.1741715636827, -0.20158750316555574, -146.2928376447528, -22.258829087515455, -22.258829087515455, 7.92561066077188, -3.133999281980038, 20.8610835234384, 20.8610835234384, 76.11899783970337, -1.115114532664415, -80.32038765536024, -4.090623863475636, 79.70900892282759, -20.03043537722309, -8.2289054552588, 5.829954828981879, -6.997754465273692)",1678993486766788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(0.0, 0.11276831737970122, 0.04665733614939433, -0.0006708928209992251, -0.017296696910057974, 0.14106666041604654, 0.043703294408041556, -3.239085593473922e-05, 0.009194454450435898, 0.0004818393640474983, 0.11101034111624714, 0.05605027972548307, -0.008480798140272207, 0.0026835928134308906, 0.12501147237468035, 0.0428161489828325, 0.0014304742093273351, -0.0026362631942528085, 0.010150774071962868, 0.007822511152821642, -0.0023534448197680695, 0.008679352376188608, -0.0024285884428313365, -0.009351809354246015)","(0.2695621322007648, 0.2695621322007648, 0.6040659677142458, 0.004823940819244306, 0.3546134091512886, 0.3546134091512886, 0.4974916485384158, -0.0071157325269522904, 0.004584583464560884, 0.3631173775808264, 0.3631173775808264, 0.6251921244504741, 0.007575033014357284, 0.3875242907939007, 0.3875242907939007, 0.4904426257726388, 0.002699874624991379, 0.0010307015033813607, -0.0009486056801525641, -0.0002486501363039285, -0.00034483347134322255, 0.000596700624391893, 0.009957548868128744, -0.0007337952604217677)","(-34.71771963203368, -34.71771963203368, -80.21354387929685, -4.260497226350636, -85.81736125217714, -85.81736125217714, 58.99201939445765, -0.39750484142673864, -146.1264894084632, -17.794149440952125, -17.794149440952125, 6.45673427311237, -3.7097849451952563, 22.43280827315573, 22.43280827315573, 82.49821763342396, -1.246144321418566, -80.12165222799409, -4.304814295369161, 79.84009639516944, -20.025944647960884, -8.266949015138401, 6.124942877635032, -6.9980857931370135)",1678993486774788012
