name,position,velocity,effort,timestamp_nsecs
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.004976601265767211, 0.0278604078232203, -0.009998562821334154, -0.0021715495607536727, -0.01985917052636288, 0.022875674662061585, -0.007573224911412099, 0.0005678980803311973, 0.008455542001274461, -0.0028910361842851007, 0.00693814631976547, -0.009599590993851615, -0.00951671400535453, 0.0008945309378102784, 0.004076461055696146, -0.007810100031777841, 0.001072929912463822, -0.0027104776520666114, 0.010108965415214955, 0.00780964152206789, -0.002477295228103755, 0.008605567310539164, -0.0031713202416438946, -0.008783161621417457)","(0.014910084536445423, 0.014910084536445423, 0.00456762297792956, -0.0007197139864201184, -0.0005857307480959402, -0.0005857307480959402, -0.0006381649266451753, -0.0012560962517611535, -0.00015774452065541342, -2.8568027064964285e-05, -2.8568027064964285e-05, 5.048663099207229e-05, -8.063232632696951e-05, -0.0001768525958436977, -0.0001768525958436977, -0.0001721886729968314, -0.0002820980848243208, 0.0001615476397577766, 0.0007461715422185656, -0.0002210390745413879, -0.0011273704193379725, 1.581777592792662e-05, 0.0006425159571781461, -0.0022254433295216644)","(-209.26873127078665, -209.26873127078665, -51.99881047184322, -15.706606212739368, 19.165422372208344, 19.165422372208344, -20.69842175063078, 5.373966065610111, -193.72407914381336, -98.4207146541276, -98.4207146541276, -56.0222689582221, 14.173024842647227, -64.64262302262729, -64.64262302262729, -95.36836942579639, 5.453267669493826, -78.5757926617076, 2.3238309109140576, 76.52014118169528, -19.8001697042142, -9.08332992521241, -13.950925218213856, 8.308358711026882)",1678993473494788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.004976601265767211, 0.029187093910040318, -0.009671516311259011, -0.002155641819166116, -0.019218552122286625, 0.022875674662061585, -0.007531912379012853, 0.0005803679902378044, 0.00847731920522276, -0.0028910361842851007, 0.005550517055812387, -0.009599200145363548, -0.009484927616937403, 0.0008945309378102784, 0.0027176407037974304, -0.00783682771755096, 0.0010371352980878003, -0.002715723497106142, 0.010120128318006459, 0.007818901240123905, -0.002405940226346863, 0.008606570187959633, -0.003109023935464264, -0.008802990443031577)","(0.025857256662147606, 0.025857256662147606, 0.010034828269604985, -0.00033048930683147944, 0.0004893925279157393, 0.0004893925279157393, 0.00019363820131456614, -0.0008330958355172424, 0.00029892833954888224, -0.0002894968778003582, -0.0002894968778003582, 4.086055723480993e-05, 0.0005174483199955608, -0.00031204994666123584, -0.00031204994666123584, -0.0006633643450096617, -0.000894020322728271, 4.322431176971632e-05, 0.0008615901695555409, -3.164672005170194e-05, 0.00028346013403831525, 2.0444335237217407e-05, 0.0016544017072511762, -0.0022716202281318834)","(-184.89288209254295, -184.89288209254295, -56.16506667978822, -14.615744888189575, 8.039399368122147, 8.039399368122147, -20.83858493128458, 5.211251201371823, -192.10372534175227, -96.1413482949641, -96.1413482949641, -56.13002450248227, 14.831551573888497, -64.7997019784946, -64.7997019784946, -95.23819237672745, 5.4965155367044884, -78.30370116023668, 2.8620219503116004, 76.81280097202885, -19.829756909756433, -9.142297810130565, -13.891643163806968, 8.711173569851038)",1678993473502788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.003619346375103416, 0.03184046608368035, -0.008732290437072378, -0.0021526180230282605, -0.019218552122286625, 0.02414654547662054, -0.007497083099514757, 0.0005997165654389106, 0.008507990297661671, -0.002409196820237547, 0.004162887791859249, -0.009598541508359168, -0.009477097474114717, 0.0013417964067154453, 0.0027176407037974304, -0.007843713860527589, 0.0010387422039378376, -0.002703058655770503, 0.010095785345438126, 0.007821232933828652, -0.0024292559811128337, 0.008623886098013737, -0.0031480175159465276, -0.008830155017680388)","(0.03628080646748932, 0.03628080646748932, 0.026145409019340142, -0.0002349205020992651, 0.001600111503660704, 0.001600111503660704, 0.0007879018533770865, -0.00036220593279640944, 0.0008237331729796319, -0.002425775538474266, -0.002425775538474266, 4.697224703571878e-05, 0.0005923983644445701, -0.0005402080172525968, -0.0005402080172525968, -0.0006705354617381769, -0.0007453205039933394, 0.0002818729129549308, 0.00026226605269731216, 1.2308710042287385e-05, -0.00018539401563975148, 0.00034079313266178817, 0.0007278526135366453, -0.002443454564327787)","(-162.61904003416427, -162.61904003416427, -61.59289773678849, -13.195147331256996, -2.7539285069506043, -2.7539285069506043, -21.30825703605125, 4.994336410897055, -190.6023180457074, -94.1938612456566, -94.1938612456566, -56.14614102308805, 15.448927530470572, -64.55360131813384, -64.55360131813384, -95.20300264234976, 5.718635235207203, -77.9679838305079, 3.4753256433245707, 77.12719238248971, -19.85490804686508, -9.23372529700245, -14.06373737939961, 8.53525328954645)",1678993473510788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.00271450978132759, 0.034493838257320386, -0.0064407512090654305, -0.002158994340763719, -0.019218552122286625, 0.02414654547662054, -0.007451356051071151, 0.0006068957076055516, 0.008547491927730131, -0.002409196820237547, 0.002775258527906166, -0.009610726537798063, -0.009490506925530525, 0.0013417964067154453, 0.0027176407037974304, -0.007822650491968518, 0.0010409361317274362, -0.0026890758505891156, 0.010109387626378969, 0.0078293282450385, -0.0023897116275018197, 0.008633834201465185, -0.0031503895980280272, -0.008847971966961164)","(0.046944306365029546, 0.046944306365029546, 0.06505728544794115, -0.00029463696185611757, 0.00294801763878219, 0.00294801763878219, 0.0015051491026489034, -0.00017160915391614668, 0.0014306495754239017, -0.004956468400512053, -0.004956468400512053, -0.00018678085288991025, 0.0002496190820254821, -0.0005417943739494417, -0.0005417943739494417, -0.00017813714527953363, -0.0005986513891854312, 0.0005018819279091937, 0.0004817841442707541, 0.00015980663197537768, 0.0006253184111840362, 0.0004916533152059344, 0.000531927137630461, -0.002416560538302818)","(-141.5301507292726, -141.5301507292726, -67.57664259690591, -12.02301659024546, -12.521067163356461, -12.521067163356461, -21.762362232609984, 5.027249795003989, -189.38883688651586, -91.79479997309846, -91.79479997309846, -56.202028768660476, 15.86486781962134, -64.34212342216793, -64.34212342216793, -95.01990757370996, 5.7410014384677615, -77.54199671322421, 3.8476706879511506, 77.39975859166165, -19.87634108164362, -9.332597943303357, -12.773267169312263, 8.455584736973053)",1678993473518788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.00045241829688791313, 0.03847389651778044, -0.0022368089540729884, -0.0021430534517447616, -0.019218552122286625, 0.02414654547662054, -0.007406673466798006, 0.0006029820703880322, 0.00856474416285911, -0.0028910361842851007, 0.0, -0.009620794447091888, -0.009511703124347386, 0.0008945309378102784, 0.0027176407037974304, -0.007814903586279062, 0.0010514601658309075, -0.0026956924472199694, 0.010186558161039704, 0.007831657575379035, -0.002355342093452253, 0.008634867498362835, -0.003244246738575853, -0.008861998856078614)","(0.06007690114708102, 0.06007690114708102, 0.1336214555939134, 6.207490788165502e-05, 0.0037898733190938456, 0.0037898733190938456, 0.0021238311042571546, -0.0002314039578415984, 0.0015335304033721664, -0.010029569010059743, -0.010029569010059743, -0.00034199503031781835, -0.00019504274861504946, -0.0006165905772864919, -0.0006165905772864919, 5.790991905562905e-06, -0.0003188701172845193, 0.0003238514000449479, 0.0018814358926417243, 0.0001763298607048651, 0.0011845973624972864, 0.00043501785179715896, -0.001253263045288706, -0.002316122005026732)","(-120.19914959157943, -120.19914959157943, -72.96765243437491, -10.762206953599001, -21.694490006374373, -21.694490006374373, -22.27660185841891, 5.097055628433394, -188.54625781032655, -89.44820755867345, -89.44820755867345, -56.324381318099, 16.215654669238745, -64.5824682340191, -64.5824682340191, -95.0169610766417, 5.6193966997430795, -77.09910620934306, 4.133568354965114, 77.57033494836682, -20.034628379172055, -9.357081655927907, -12.067692987327169, 8.575513191233014)",1678993473526788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(0.001357254890663795, 0.04643401303870048, 0.003805028142701338, -0.002098110458967001, -0.01985917052636288, 0.02541741629117955, -0.00741811346665173, 0.0005906165078884953, 0.00859591601790456, -0.0028910361842851007, -0.001387629263953083, -0.009591372139584782, -0.009519186869616546, 0.00044726546890516694, 0.0027176407037974304, -0.007812461093673541, 0.0010514018465521357, -0.0026657786334941193, 0.010183837438053246, 0.007838224315037811, -0.00244572855862942, 0.008631895040723692, -0.0031688365954330878, -0.008885366212380454)","(0.07982797616331946, 0.07982797616331946, 0.22585026475774206, 0.0009056028019766536, 0.004695583509566563, 0.004695583509566563, 0.001643598865612896, -0.00041291102592016615, 0.001881473365249727, -0.016947089868011956, -0.016947089868011956, 0.00024097102780328773, -0.00030075737839869174, -0.0010906554350422447, -0.0010906554350422447, 6.791623846881355e-05, -0.0002674675979486487, 0.0008076476540358565, 0.0015052315054633865, 0.0002713405691878309, -0.0006545751114325975, 0.0003149081339291306, 0.0003320998651853867, -0.0024013479733289017)","(-100.08104491401457, -100.08104491401457, -76.99979473440061, -9.687656222933281, -30.407379989268517, -30.407379989268517, -22.6046027564256, 5.083759421384267, -187.8552209661911, -87.0105396181377, -87.0105396181377, -56.46050489391283, 16.721621605033274, -65.31371982118057, -65.31371982118057, -94.56607208300117, 5.5652269749711465, -76.73333249895714, 4.515637126384498, 78.00980364123757, -20.144160812005566, -9.376591837923018, -12.50241616160684, 8.409019533199931)",1678993473534788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(0.0022620914844396767, 0.06633430434100068, 0.010595515269503274, -0.001996610858757056, -0.019218552122286625, 0.02541741629117955, -0.007382590197112362, 0.0006008072588690813, 0.008610023758880056, -0.003372875548332599, -0.004162887791859249, -0.009616536533551347, -0.009506964582176215, 0.0008945309378102784, 0.0027176407037974304, -0.007824013457597324, 0.0010527587220181826, -0.0026814729955089503, 0.0101518348382923, 0.007843406864241845, -0.0023761736846219738, 0.008635373216120066, -0.0032010247483713144, -0.008904926347688939)","(0.11477685316728913, 0.11477685316728913, 0.31773980008576364, 0.002651513586297202, 0.006348602765351584, 0.006348602765351584, 0.002069261738296911, -0.00014529501563692067, 0.0018750230204934801, -0.023942114243941128, -0.023942114243941128, -0.0002475342775679092, -3.8602635218694086e-05, -0.0010525583739388735, -0.0010525583739388735, -0.0001482962833509147, -0.00018900381728881392, 0.0003916112171055121, 0.0007306946732384585, 0.00031771639771810964, 0.0007043407900714051, 0.0003380069457524906, -0.00031063700828726817, -0.0023994960906897097)","(-82.82271221794844, -82.82271221794844, -80.04466126576237, -8.617093753809987, -38.48929066288945, -38.48929066288945, -22.922257175232907, 4.887992371965847, -187.1029861932584, -83.81864289352694, -83.81864289352694, -56.661510749655456, 16.98605987976996, -65.56280242127346, -65.56280242127346, -94.1427135875217, 5.464105708794191, -76.55176639926042, 4.6024937309921405, 78.18463255448637, -20.157609781402268, -9.418955112867222, -12.18009196473258, 8.333812498009141)",1678993473542788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(0.0031669280782155584, 0.08888796781694097, 0.017207387285568813, -0.0019220448654291276, -0.019218552122286625, 0.02541741629117955, -0.0073996019373681506, 0.0005987916626862065, 0.008621237358674216, -0.0038547149123800972, -0.004162887791859249, -0.009613524235380937, -0.009487734597657104, 0.0008945309378102784, 0.0013588203518987152, -0.007791872034335434, 0.0010521177868155415, -0.0026936321585719456, 0.010123097487914474, 0.007836108032344285, -0.002377369283279888, 0.0086485871597496, -0.0032611070670837696, -0.008911680983431317)","(0.16882615641990822, 0.16882615641990822, 0.3933019306115905, 0.003631000120081168, 0.007911599257969868, 0.007911599257969868, 0.0014691313586703168, -0.0001630048175081321, 0.0018097735111957665, -0.029797467724919525, -0.029797467724919525, -0.00015058558018364693, 0.000299550058504641, -0.0017297698126459437, -0.0017297698126459437, 0.0004963220800639324, -0.0001820390217604046, 0.000131927169461131, 8.28475561390293e-05, 0.00012727442290790946, 0.0005194178007085761, 0.0005446335253670699, -0.0013819219096716762, -0.0021708796336630345)","(-68.37989033917329, -68.37989033917329, -82.9032254760423, -7.812506714097375, -45.883527486506466, -45.883527486506466, -23.33910661062771, 4.757561599516766, -186.64611267920898, -80.19919577035901, -80.19919577035901, -56.86253879191257, 17.54371783496414, -65.35725318000547, -65.35725318000547, -93.90006687869001, 5.466787498394435, -76.37587101312312, 4.770937043444767, 78.5694337935596, -20.134459621352665, -9.499549470215516, -12.650710061540181, 8.257594793280163)",1678993473550788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(0.0036193463751034716, 0.10613488694560114, 0.02348769848040142, -0.001859782603162667, -0.019218552122286625, 0.02541741629117955, -0.007415339510421882, 0.0005962251352044581, 0.00863033651468237, -0.0038547149123800972, -0.002775258527906166, -0.009610749024255724, -0.009461027362030063, 0.00044726546890516694, 0.0027176407037974304, -0.007806447662426182, 0.0010419433054622558, -0.0026839730139764546, 0.010100050962758997, 0.007853784357632938, -0.0024051118305728346, 0.00865392451758076, -0.0032752620919764097, -0.008932867769656107)","(0.2324741549801706, 0.2324741549801706, 0.4511503867087879, 0.004203559293342569, 0.009290181411503654, 0.009290181411503654, 0.000948907064251723, -0.00019565873526106671, 0.0017025143327782368, -0.03397909413602085, -0.03397909413602085, -7.714850797376509e-05, 0.0007364822604612551, -0.0017481046185976882, -0.0017481046185976882, 0.00016492890897731784, -0.0003183942560014435, 0.00029638722568027813, -0.00032807391846336256, 0.00043877536089255247, -8.787961405077501e-05, 0.0005514481739797339, -0.0013652028492799517, -0.002240893966458813)","(-56.136468635791516, -56.136468635791516, -84.0854554156038, -7.009262800738764, -52.66211767875656, -52.66211767875656, -23.548716392729325, 4.7171942909813485, -186.0333213415706, -76.08875961200692, -76.08875961200692, -57.22140332151848, 17.96361868707077, -65.39502686313459, -65.39502686313459, -93.54844243389526, 5.418178997610328, -76.11632034827967, 4.939970756357919, 78.9231810491248, -20.19093396934857, -9.483211274033401, -12.43021496694471, 8.288984713657648)",1678993473558788012
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(0.004071764671991385, 0.11674837564016122, 0.029206602564448018, -0.0018050309525232478, -0.019218552122286625, 0.026688287105738506, -0.007411439503677148, 0.0005933712275429012, 0.00863711575040042, -0.003372875548332599, -0.004162887791859249, -0.009608377951562696, -0.0094373776591927, 0.0008945309378102784, 0.0027176407037974304, -0.007762908549967574, 0.0010442314662758535, -0.0026564645514880673, 0.010078929282115977, 0.007851228874221298, -0.002368712706163845, 0.008653162169510458, -0.0032219169225102696, -0.008940103660577159)","(0.29467350362447087, 0.29467350362447087, 0.48985661913098777, 0.004593379238372108, 0.011060327899494047, 0.011060327899494047, 0.000897523759844305, -0.00023722210569185654, 0.0015553646464987218, -0.036665119371504025, -0.036665119371504025, -2.199755779838553e-05, 0.0010605757670548615, -0.0018000765515919376, -0.0018000765515919376, 0.000975109025878092, -0.00021561102251938842, 0.0007717118149294087, -0.000705997245838349, 0.0003233255492628497, 0.0005792475295377584, 0.00045941547548291716, -7.62394708791231e-05, -0.0020317483193152104)","(-45.78688214295178, -45.78688214295178, -84.09912936270263, -6.342581760048489, -59.092697671076635, -59.092697671076635, -23.68617134131273, 4.534538297013659, -185.49605828717455, -72.04137786610892, -72.04137786610892, -57.63344340739377, 18.225068923079483, -65.28113988875009, -65.28113988875009, -93.24008863661797, 5.429037888269665, -75.95083975277475, 5.130823187936217, 79.02486956858081, -20.162651558874245, -9.524413598293506, -12.218414428682832, 8.168067471369154)",1678993473566788012
