name,position,velocity,effort,timestamp_nsecs
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.004071764671991385, 0.018573605215480182, -0.011270890910161917, -0.004861897892352497, -0.017296696910057974, 0.026688287105738506, -0.013423567899354512, 0.008500395820985471, 0.011235776448226997, -0.003372875548332599, 0.008325775583718553, -0.008116187493127694, -0.009008010166989058, 0.005814451095766948, -0.002717640703797375, -0.012333581159252555, 0.005172910088712418, 0.04425505292381069, 0.011294056893779967, -0.010278674852707373, 0.04729543367530448, -0.03799163203838441, -0.015361316271014228, -0.01829011696054356)","(-0.00039299727955668343, -0.00039299727955668343, -0.0023660494681976146, -0.00044375945346251114, 0.008198947592396269, 0.008198947592396269, 0.0005566300269378627, -0.0003407577058385223, 0.0010983555211956696, 0.0009804063926768015, 0.0009804063926768015, -0.000564463563015833, -0.00038623970766930247, 8.996212532306299e-05, 8.996212532306299e-05, 3.255573449211604e-05, -0.00014966058420994428, 0.47647702803873415, 0.042222047141083976, -0.046395880519257277, 0.4179948221050617, -0.33943586859898134, -0.004131216575144997, -0.0007630099234780475)","(-186.7128828156816, -186.7128828156816, -36.6475104597271, -18.028107894661947, -54.564043550475304, -54.564043550475304, 32.64477972051217, -49.51974511486669, -155.95248992749143, -52.056006318408265, -52.056006318408265, 21.553415020785017, 23.381543886668894, -48.642427418564694, -48.642427418564694, 39.07941490026403, -27.028145196104436, -75.4304256669197, -101.67550144822738, -64.8018366626261, -14.885623008258717, 15.185690530191428, -84.14128124671291, 7.9851363064058845)",1686653498791353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.004071764671991385, 0.018573605215480182, -0.011266606201141848, -0.0048463474776938974, -0.017937315314134172, 0.026688287105738506, -0.013418976329262934, 0.008520236739309746, 0.011249275762953308, -0.0028910361842851007, 0.00693814631976547, -0.00810664991650515, -0.00900367591209394, 0.005367185626861837, -0.0013588203518986597, -0.012354048314597112, 0.005186584052428099, 0.048339562068166794, 0.013969773071665165, -0.010557387295274015, 0.05174027460599585, -0.04086407110449333, -0.015307695213859189, -0.01829507651378207)","(-0.0006283406662075076, -0.0006283406662075076, -0.0019531863579043177, -8.4949512849788e-05, 0.007859639593537807, 0.007859639593537807, 0.0005688740366354989, 6.213128423966543e-05, 0.0011677545559650483, 0.0009052961312705048, 0.0009052961312705048, -0.0003037734333119573, -0.0002559693533535618, 0.0003949222491401355, 0.0003949222491401355, -0.0003434319612314611, 0.00011555510023122909, 0.4814295070319514, 0.08552174467393045, -0.04465665868631952, 0.43811021415189044, -0.3421609065639707, -0.0024610958794231493, -0.0007414399487874788)","(-185.56074103535033, -185.56074103535033, -36.63556585578289, -18.0377906716218, -59.4454148358383, -59.4454148358383, 32.69749173749348, -49.74523765942687, -155.791615700419, -51.343092286458706, -51.343092286458706, 21.614479187096396, 23.458809677648112, -47.95474130971436, -47.95474130971436, 39.1082250505406, -26.962015431765046, -76.76238509985045, -106.16354292548034, -67.2644900931106, -15.069230420889026, 15.564877129427682, -83.01765607252746, 8.06197368910995)",1686653498799353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.004071764671991385, 0.017246919128660165, -0.011248184645043317, -0.004855202548547773, -0.017296696910057974, 0.02795915792029746, -0.013415562085607536, 0.008519392924443994, 0.011288691285422654, -0.003372875548332599, 0.00693814631976547, -0.00809814129609034, -0.009018208995368267, 0.005367185626861837, -0.002717640703797375, -0.012331589698952764, 0.005210336568971094, 0.05252775005292799, 0.017030500050151064, -0.010686756062190475, 0.05583422818161597, -0.0435032078342316, -0.015238290830919687, -0.018288642483522095)","(-0.0003638380948906009, -0.0003638380948906009, -0.0013327542205734946, -0.00022971155406523142, 0.008510093318842341, 0.008510093318842341, 0.0005513044399775785, 3.928735977258407e-05, 0.0017014152573149059, 0.0009827132881692156, 0.0009827132881692156, -0.00010753299744610129, -0.0004622117525503167, 6.624410018318664e-06, 6.624410018318664e-06, 0.00014024699284006161, 0.0005386025819949464, 0.48779396439183836, 0.12953208748379075, -0.040397576965260446, 0.4490826156976372, -0.340412834633443, -0.000850906339181871, -0.0005094359326524892)","(-184.33508548557492, -184.33508548557492, -36.457983413395986, -18.061925537930282, -63.625487407161984, -63.625487407161984, 32.66512207867382, -49.890251843753894, -155.6235490266168, -50.586709130869274, -50.586709130869274, 21.74990134913878, 23.629216002423885, -47.37102771566208, -47.37102771566208, 39.27209848765846, -27.117442584862097, -78.12395206976635, -109.89737675226243, -70.26087486917268, -15.427974023355247, 15.305966731333775, -82.56630042699815, 8.087365734949577)",1686653498807353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.004071764671991385, 0.017246919128660165, -0.011246705141263793, -0.004840381831904773, -0.017937315314134172, 0.02795915792029746, -0.013396866489948584, 0.008507917316254974, 0.01128336593436186, -0.0028910361842851007, 0.008325775583718553, -0.008103365442032138, -0.008990981914508412, 0.005814451095766948, -0.0013588203518986597, -0.012338712373394015, 0.005197293514644437, 0.05673991580967103, 0.02021939547210946, -0.010639397310436133, 0.059778654390745194, -0.04596751994238828, -0.015183540764158475, -0.018283899166433235)","(-0.00036490108282709083, -0.00036490108282709083, -0.0011179036802666544, 9.677677468589643e-05, 0.009146745008112552, 0.009146745008112552, 0.0008209314370375152, -0.00018126696514988218, 0.0013749330586505018, 0.0017758665766196351, 0.0017758665766196351, -0.0001696097002408583, 0.00013705066923140567, 0.00019308405724107822, 0.00019308405724107822, 2.1641397372524715e-06, 0.0002352291183477378, 0.493307258119097, 0.16923313630804154, -0.03349811576058659, 0.45542308524845565, -0.33546471683995754, 0.00011921027994090967, -0.00035677653400195155)","(-183.0992955566669, -183.0992955566669, -36.13129602877271, -18.201512778808272, -67.69037566012003, -67.69037566012003, 32.70256349392668, -49.94271799797471, -155.58542735132335, -49.90316558712521, -49.90316558712521, 21.935140293925002, 23.744337401585835, -46.87151064437804, -46.87151064437804, 39.116492400896334, -26.707768273605375, -79.13014613131071, -112.72009332094807, -73.40845019691061, -15.52762971353649, 15.709331244800667, -82.63830489458681, 8.148860383552007)",1686653498815353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.004071764671991385, 0.017246919128660165, -0.011273656521592911, -0.004859547805907138, -0.017296696910057974, 0.02795915792029746, -0.013396781864521087, 0.008487879164537799, 0.011304352323628709, -0.003372875548332599, 0.00693814631976547, -0.008107797153243175, -0.008998290733667584, 0.005367185626861837, -0.0013588203518986597, -0.012358262163247433, 0.005185823956189668, 0.06092408054205993, 0.02324749040808496, -0.010476695810176738, 0.06338498787176478, -0.048319278381489576, -0.015347813988509634, -0.01828449551027476)","(-0.0008351466912690875, -0.0008351466912690875, -0.0014762109365387475, -0.0002629144327225399, 0.009593615892829399, 0.009593615892829399, 0.0007109600472093062, -0.0005329212638497073, 0.0015508099683233642, 0.0014324002686380856, 0.0014324002686380856, -0.00021343590381231404, -1.3475419422022187e-05, -6.861179632589586e-05, -6.861179632589586e-05, -0.00033084735619847886, 2.5213604892230384e-06, 0.49781925599988497, 0.20022683380731546, -0.025519916852166466, 0.4547962237216964, -0.32937733504324396, -0.002951846162909535, -0.0003142623746519954)","(-181.90310342232254, -181.90310342232254, -35.88647154345148, -18.248721946846008, -71.2144236877587, -71.2144236877587, 32.65448428271422, -50.03277361749121, -155.50296711798686, -48.99354153774395, -48.99354153774395, 21.945566045824286, 23.746744401909027, -46.18353053670119, -46.18353053670119, 38.95822517544161, -26.572303732992825, -80.08860363857475, -115.00499603372532, -76.32011544923152, -15.61239984723652, 15.587771009795356, -82.90139827565822, 8.089110696305942)",1686653498823353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.004071764671991385, 0.017246919128660165, -0.011293601176226964, -0.004876867226485251, -0.017937315314134172, 0.026688287105738506, -0.013413599930018165, 0.0084715049472898, 0.011281055940521758, -0.003372875548332599, 0.00693814631976547, -0.008100421899595417, -0.009043692921176566, 0.005367185626861837, -0.0013588203518986597, -0.012334712510528818, 0.005208646315036635, 0.06501971020619936, 0.0260732149586274, -0.010220831233994547, 0.06666518280958897, -0.050618423246900995, -0.015233953044930469, -0.018284708196818225)","(-0.0012371324289662132, -0.0012371324289662132, -0.0016034733407315144, -0.0005427861018437707, 0.009374274606548789, 0.009374274606548789, 0.00026968264775916633, -0.0007505629716369717, 0.0008696080770514989, 0.0014925498844220184, 0.0014925498844220184, -5.058985615619079e-05, -0.0008482091261097633, -0.0003147085550633835, -0.0003147085550633835, 0.00017301905971247805, 0.0004212211619692973, 0.4998525054134023, 0.22272125231758036, -0.016988412814272002, 0.44805732799999487, -0.32309798983683513, -0.00030624403883301125, -0.00026411397540090367)","(-180.7337594802087, -180.7337594802087, -35.570498611634804, -18.35532998773255, -74.44344886264489, -74.44344886264489, 32.44292313876823, -50.320437898930315, -155.59622530845434, -48.25050665380452, -48.25050665380452, 22.2145300440377, 23.860698515587544, -45.18847572600868, -45.18847572600868, 38.66407113007043, -26.574231478674555, -80.94979189753948, -116.7767722127593, -79.73891006089124, -15.717026594558856, 16.298631164237545, -83.75211653441377, 8.147003262414458)",1686653498831353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.003619346375103416, 0.018573605215480182, -0.011327495121330026, -0.004880040313326243, -0.017296696910057974, 0.02795915792029746, -0.013428998471715916, 0.008458180432341048, 0.011277272353799779, -0.0028910361842851007, 0.00693814631976547, -0.008082300398769062, -0.00905296694592498, 0.005814451095766948, -0.0013588203518986597, -0.012341613812040719, 0.005228350630824443, 0.06912942672380142, 0.028730104073221924, -0.009892205401598, 0.06984368870544745, -0.05291504264782923, -0.015238023734394738, -0.01828009706064506)","(-0.0006568342684494442, -0.0006568342684494442, -0.0020154884382296103, -0.0005022238424749615, 0.009337902696330863, 0.009337902696330863, -9.109591676143678e-05, -0.0008791047352737305, 0.0006959031409219062, 0.0008607317971670507, 0.0008607317971670507, 0.0002522628842529623, -0.0008879712948501719, -2.6912183256028573e-05, -2.6912183256028573e-05, 3.387245023724666e-05, 0.0007204870349004122, 0.501883215082169, 0.23879642896681824, -0.008397021302024736, 0.440567713177386, -0.31776691367800863, -0.00042798531955853895, -0.00014179252975602812)","(-179.81190494352845, -179.81190494352845, -35.268857522260475, -18.228340396839613, -77.66808544865138, -77.66808544865138, 32.304019616872004, -50.42545702079571, -155.56030245703704, -47.522636500788956, -47.522636500788956, 22.33068123481467, 23.845431386390402, -44.421231060164025, -44.421231060164025, 38.489674251511516, -26.472330608995367, -81.86425092605127, -118.00673741930696, -83.07049137621267, -15.833535980858372, 16.179956343112682, -83.58322675376269, 8.088333074238149)",1686653498839353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.004071764671991385, 0.018573605215480182, -0.01135400221962512, -0.004862330796637646, -0.017296696910057974, 0.029230028734856472, -0.013424721905304877, 0.008484600580194603, 0.011311919529934118, -0.003372875548332599, 0.00693814631976547, -0.008091175216761917, -0.009021759144409345, 0.005367185626861837, -0.002717640703797375, -0.012294277274917827, 0.005212623518477717, 0.07324507842469151, 0.031105966851418632, -0.009529695539136091, 0.07278260019263623, -0.055241846300639254, -0.015426474849530762, -0.018281509732106512)","(4.514218625543359e-05, 4.514218625543359e-05, -0.002192409004549638, -9.497662301765231e-05, 0.01012409115353203, 0.01012409115353203, -1.5886698887896127e-05, -0.0002594431192676782, 0.0012162666163685772, 0.001806986565304086, 0.001806986565304086, 4.354788813315382e-05, -0.00017140773162505128, -0.00016937889035586402, -0.00016937889035586402, 0.0009054740785099372, 0.0003415517598155494, 0.5037065741563362, 0.24735703615881424, -0.0004505794325539628, 0.4296374714517642, -0.3137854163159189, -0.0038810516483728775, -0.00015209038755870178)","(-178.72652594580572, -178.72652594580572, -34.933870917491795, -18.106284164117262, -80.56911406547147, -80.56911406547147, 32.2192892422649, -50.734387677047835, -155.45485960716073, -46.84962710849041, -46.84962710849041, 22.42968922909705, 23.868295721305998, -43.38649931116892, -43.38649931116892, 38.38042785688349, -26.231980403080883, -82.67247578739968, -119.15220814867028, -86.0739578296799, -15.890585806517057, 15.928179523572474, -83.2664562197981, 8.108073547742908)",1686653498847353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.004071764671991385, 0.018573605215480182, -0.011364228114619334, -0.004899436037323308, -0.017296696910057974, 0.029230028734856472, -0.013435088529089692, 0.008468674714658949, 0.011343393080790902, -0.003372875548332599, 0.00693814631976547, -0.008073955588513655, -0.009043857093931153, 0.005367185626861837, -0.002717640703797375, -0.012282067821312666, 0.005210097085511024, 0.07739656035023933, 0.03337818583476575, -0.009162528110581823, 0.0754940083973606, -0.05763815370333429, -0.015336810894606671, -0.01828225450453503)","(-0.0004992162958424928, -0.0004992162958424928, -0.0020623946988885936, -0.0007608694768675038, 0.011016101823154352, 0.011016101823154352, -0.00017289069352508294, -0.0005046475031730831, 0.0016330201939318014, 0.001769700693493055, 0.001769700693493055, 0.00033129854808411797, -0.0005571978218178516, -0.000558391251605624, -0.000558391251605624, 0.000972947061313253, 0.00026006313523644915, 0.5059636798650116, 0.2526923390359678, 0.006401304982205516, 0.41620693020637956, -0.31168247029775864, -0.0016999601886104644, -0.00013587338695401303)","(-177.77501272716808, -177.77501272716808, -34.537327314689875, -18.108355461967626, -83.19041049430102, -83.19041049430102, 32.189108579591476, -50.696070445781814, -155.5007924469752, -46.27035528071209, -46.27035528071209, 22.439333924743107, 24.004846980458847, -42.2941023568448, -42.2941023568448, 38.29039719271689, -25.941321592606158, -83.29787910166185, -120.25301631515094, -88.57935505620225, -15.814482809312219, 15.92219316659236, -82.35859779187099, 8.094018700245488)",1686653498855353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.004071764671991385, 0.017246919128660165, -0.011372949323008351, -0.004921730953972767, -0.017296696910057974, 0.029230028734856472, -0.01346091880153232, 0.008476322339464744, 0.011314454448142271, -0.003372875548332599, 0.008325775583718553, -0.008083293022454873, -0.009053636997551736, 0.005814451095766948, -0.002717640703797375, -0.012256559790780963, 0.005230237359738799, 0.081593290235472, 0.03538809666376788, -0.008797457872253774, 0.07840883923101157, -0.06014181462303898, -0.01538308904903633, -0.0182731803599166)","(-0.0006272227501638297, -0.0006272227501638297, -0.0019140101307119329, -0.0010738680035208286, 0.011143608361275087, 0.011143608361275087, -0.0006403125395053177, -0.00027271078710654537, 0.0008422870358696477, 0.001492156178647932, 0.001492156178647932, 9.699400406015961e-05, -0.0006640326621639222, -0.0001207820181370617, -0.0001207820181370617, 0.001322265752621198, 0.0006080585151330246, 0.5088491686834026, 0.25253123119669546, 0.012210905057552375, 0.4086541303058738, -0.31197833288981974, -0.002242538678788754, 4.616504506260571e-05)","(-176.9830398318869, -176.9830398318869, -34.274551973972194, -18.109433946093056, -85.29947473089778, -85.29947473089778, 32.23803159376007, -50.595094986040486, -155.55402743395447, -45.52905436810552, -45.52905436810552, 22.522087355175458, 24.071928454854625, -41.3651027535023, -41.3651027535023, 38.1348589060353, -25.830100673379697, -83.89858462106932, -121.43292571247471, -91.2509565525878, -16.158154479699785, 16.21750034708504, -83.13250395008863, 8.115063996407098)",1686653498863353034
