name,position,velocity,effort,timestamp_nsecs
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.001809673187551708, 0.026533721736400284, 0.00267625633265783, -0.004064545137606603, -0.015374841697829322, 0.06354354072794888, 0.004156144382265491, 0.0020262388155032874, 0.007896317025808536, -0.002409196820237547, 0.019426809695343272, 0.000656573767375738, -0.0034300134525726707, 0.007156247502482449, 0.035329329149366206, 0.005085995673198694, 0.011212632214330371, -0.00890365975353872, 0.009705555072807823, -0.005365506938759004, 0.00917845058768492, -0.005834863024406505, -0.011562957005904487, -0.01308067950437987)","(0.016925268963625322, 0.016925268963625322, 0.22075368913044943, 0.001850358467989125, 0.04696813156503428, 0.04696813156503428, 0.17882363630220888, -0.0033541954576058832, 0.0005538191944733206, 0.02541531702213289, 0.02541531702213289, 0.16947601192789113, -0.00041731324183501804, 0.053706227570448704, 0.053706227570448704, 0.22654691762548984, -0.006415365252315032, -0.000671887084542259, -0.0015438795120649776, -0.00021236211116329763, 0.0018384255981136043, 0.00032399031084860176, -0.0039747254679171635, -0.0008926728268207821)","(-117.4214554834805, -117.4214554834805, -46.15573171565472, -3.492141986459444, -53.950801182552325, -53.950801182552325, 57.20518604860156, -24.342129285474638, -157.64008065557707, -24.728116838121192, -24.728116838121192, 33.246069523349604, 14.995798769025054, -5.347720946477194, -5.347720946477194, 62.58955969493512, 34.031222393483695, -7.876816805035678, -19.587942313350197, -57.39910406445808, 13.673429391271421, -6.9999999999999964, -86.48953783140017, 1.6591259400382672)",1686653575287353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.001357254890663795, 0.029187093910040318, 0.011167317458742557, -0.004040281620975288, -0.014734223293753068, 0.0851483445754515, 0.009668410538236026, 0.0019269101098585855, 0.00790549447221978, -0.0019273574561900486, 0.05134228276626429, 0.007058987274352268, -0.0034346950631679255, 0.007156247502482449, 0.05842927513164409, 0.011760076759176803, 0.011067804546384143, -0.008897559399690334, 0.009719177988199403, -0.005380067197859246, 0.00907482217093318, -0.0058071271402649486, -0.011384472646765668, -0.013092784621090705)","(0.02745167332397544, 0.02745167332397544, 0.34521899472977097, 0.0020503964638786776, 0.10900424934218426, 0.10900424934218426, 0.2544172700956562, -0.00471471950278552, 0.000659402669055097, 0.057417275541856785, 0.057417275541856785, 0.2628765372704662, -0.00040925185609218755, 0.10916049503768295, 0.10916049503768295, 0.3163309669368627, -0.008127621727836496, -0.0004908284058873151, -0.0010375096705340376, -0.00043786968373073475, -0.00033982289463046095, 0.000776770017259578, -7.303014431438691e-05, -0.0009828908679416959)","(-100.16645384177303, -100.16645384177303, -46.201597958918484, -3.1334086562464267, -60.24957699207319, -60.24957699207319, 63.441423139962986, -24.508845346448034, -156.64400189346466, -17.626993759134052, -17.626993759134052, 38.17190015339591, 14.921125816663524, -0.24567142126930797, -0.24567142126930797, 70.48755361017837, 31.94715433533011, -8.185963126166934, -19.536000688838712, -57.07465879390079, 13.314305465265281, -6.9999999999999964, -86.73590873632651, 1.7298808343563121)",1686653575295353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.001809673187551708, 0.03316715217050037, 0.019772568815609664, -0.003967623040896577, -0.015374841697829322, 0.09658618190648227, 0.015703588275949972, 0.001814188867670015, 0.008048509362659634, -0.0009636787280949966, 0.0888082728929977, 0.01427330943836401, -0.003392288964090125, 0.007156247502482449, 0.07609393970632716, 0.018298036400088525, 0.010887163131187802, -0.008945578752584697, 0.009759850963404655, -0.005381259265048633, 0.009161547483438705, -0.0058057027215536695, -0.011100155558096868, -0.013097460764838224)","(0.038893203567049874, 0.038893203567049874, 0.4530263614688428, 0.003099833480375029, 0.17278123290660358, 0.17278123290660358, 0.3283024913462339, -0.006107620622905795, 0.0032129174362462566, 0.1354206841847981, 0.1354206841847981, 0.3576420730390878, 0.0004298042305698011, 0.17635496342415172, 0.17635496342415172, 0.39028139708210324, -0.010276129190773767, -0.0012950267580469502, -9.984550838136412e-05, -0.0003950593474300054, 0.0013261588950745768, 0.0006888368920602644, 0.005346840069367757, -0.00091526979889891)","(-83.76313050121145, -83.76313050121145, -44.97928525486788, -2.521761941193488, -62.296745341215846, -62.296745341215846, 66.48649066878987, -24.50923292994964, -156.48408136987095, -13.429475391354748, -13.429475391354748, 42.14518937785167, 14.913320244434306, 2.7666190124471326, 2.7666190124471326, 75.87287585513666, 30.126769917672043, -8.471104482664174, -19.49279112570518, -56.705715351951284, 13.575050888326725, -6.9999999999999964, -85.46886426845792, 1.9465947946076432)",1686653575303353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.002262091484439621, 0.034493838257320386, 0.027215084556862112, -0.003895673822262012, -0.014734223293753068, 0.09912792353560024, 0.02136028657261639, 0.0017663623710635497, 0.00815412557019657, 0.0, 0.10684745332438783, 0.023095163846462128, -0.0033453659543860596, 0.006708982033577282, 0.0842468618177194, 0.02430739064265159, 0.0107558768959985, -0.008937195478285791, 0.009698456983668889, -0.00535925374513262, 0.009178781566294772, -0.005787695262157687, -0.01086105539144588, -0.013096843383735133)","(0.04810338675697846, 0.04810338675697846, 0.5232497002307777, 0.003966526602032763, 0.2231778533628521, 0.2231778533628521, 0.38414248304545806, -0.0060924790845082585, 0.004647355064459711, 0.22274977125922094, 0.22274977125922094, 0.46810672067164205, 0.0012414115191742546, 0.2361393771930515, 0.2361393771930515, 0.44341404291477376, -0.01118965119076445, -0.0009448650073274739, -0.0011497435426634992, 6.010341892177954e-05, 0.0014871782512058884, 0.0009526764328138197, 0.009082722331159808, -0.0007696646683495356)","(-67.37791865033633, -67.37791865033633, -44.25142342287855, -2.000753248497613, -65.07871036606909, -65.07871036606909, 70.08903747887192, -24.53264291194197, -156.81982544822932, -11.791744901149377, -11.791744901149377, 41.37702602333466, 15.02425626457684, 4.692116856231281, 4.692116856231281, 79.52058239429955, 28.758427610191443, -8.530203925080317, -19.49260313520646, -56.49325242424264, 13.501182973687236, -6.9999999999999964, -83.20879574559561, 2.9513103962639478)",1686653575311353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.00271450978132759, 0.039800582604600454, 0.033562455790980036, -0.0038570297395911133, -0.01409360488967687, 0.10548227760839513, 0.02636725990473876, 0.0016881373165841423, 0.008218374212775523, 0.0, 0.11517322890810638, 0.032435151437138925, -0.0032871138540714255, 0.006708982033577282, 0.08696450252151677, 0.029476207451793045, 0.010600583415038552, -0.008926512167704343, 0.009712078105300346, -0.005363764268590338, 0.009189086129895397, -0.005781755636652493, -0.010753104030743772, -0.013096043208548777)","(0.05881157881631828, 0.05881157881631828, 0.5632251511335247, 0.0040587136372992475, 0.26049686500896274, 0.26049686500896274, 0.4199595930577493, -0.006632667192377836, 0.005142206929170758, 0.29914525093193384, 0.29914525093193384, 0.5717152655261104, 0.0021227574427646317, 0.2808503685057156, 0.2808503685057156, 0.47342110859786873, -0.01241187600620757, -0.0006490654039875705, -0.0007198637206837752, -3.6135141517299986e-05, 0.0013820115974358732, 0.000919999530795353, 0.009810844531227337, -0.0006359258252195901)","(-51.016538539913654, -51.016538539913654, -44.026350118118174, -1.6374321111056127, -70.10975410675039, -70.10975410675039, 74.89847284328741, -24.38558786677242, -157.14121697252514, -11.310749703420067, -11.310749703420067, 38.687963685447336, 15.017390299457121, 7.349758104107019, 7.349758104107019, 83.441270043658, 27.299356114972703, -8.52228157482004, -19.495304252690474, -56.397799858925346, 13.651633377809452, -6.9999999999999964, -81.78795518118278, 3.267203322410898)",1686653575319353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.002262091484439621, 0.05970087390690065, 0.0389763335497654, -0.003833307145834846, -0.014734223293753068, 0.11564924412486693, 0.03101874469073623, 0.0016023749449576555, 0.008248403342400892, 0.0004818393640474983, 0.1137855996441533, 0.04082622244911156, -0.0032370768668784126, 0.007156247502482449, 0.0937586042810103, 0.03399246750049757, 0.010477939507016046, -0.008917653466346057, 0.009723324175906508, -0.005367366606353465, 0.0091682925013832, -0.005767940189439645, -0.010511587971232736, -0.013100883229435385)","(0.08351777596408583, 0.08351777596408583, 0.5797625485520765, 0.0039034666489907934, 0.29370514804503317, 0.29370514804503317, 0.4438143265010246, -0.007219556370331873, 0.004957838935271642, 0.35315656502740406, 0.35315656502740406, 0.6418932640213949, 0.0027330935815892215, 0.3138954074314933, 0.3138954074314933, 0.48672807714609334, -0.012864237759196684, -0.00044537179271401673, -0.0003833249918049164, -9.722886219295658e-05, 0.0007684565444703632, 0.0010573368674417988, 0.012733321697264755, -0.0006356395798092916)","(-36.29193079433174, -36.29193079433174, -43.9051185967056, -1.235079359889383, -75.3033078474185, -75.3033078474185, 79.90519889438485, -24.176486990904387, -157.28133637647377, -11.146457694429314, -11.146457694429314, 36.1481863132301, 15.090233886472642, 10.280153807578328, 10.280153807578328, 88.41154815438892, 26.24214662353222, -8.649383385937792, -19.529769685711905, -56.20843285420679, 13.727296606249993, -6.9999999999999964, -81.80613821466224, 3.5788824228964793)",1686653575327353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.0009048365937758263, 0.09154133999058095, 0.04359604665986177, -0.0037497090140823806, -0.01409360488967687, 0.1258162106413388, 0.03547497490708834, 0.0015189474589986185, 0.008313573276926603, 0.0, 0.11239797038020022, 0.047830575292144295, -0.003144854483648479, 0.007156247502482449, 0.10191152639240247, 0.038009153617988595, 0.010352345115765434, -0.008885154202390864, 0.009765384018947823, -0.00535804682938757, 0.009214753575811654, -0.005779981342856011, -0.010589904089810193, -0.013094437843764415)","(0.13842367859611288, 0.13842367859611288, 0.5791782552562679, 0.004867761543531937, 0.3269536853295054, 0.3269536853295054, 0.460418355871051, -0.007689147687555839, 0.00543914897584406, 0.3816924661680395, 0.3816924661680395, 0.6760444929544945, 0.0040450973430398865, 0.34152213025605793, 0.34152213025605793, 0.48882979176272, -0.013276316426471903, 0.0002468309250942787, 0.0004969418840891849, 0.00010344442110353366, 0.0015497836191754974, 0.0006829694069795112, 0.0092629967257424, -0.000422544726493016)","(-23.455519684767882, -23.455519684767882, -44.00881006653164, -1.4193136304970864, -78.91731766749966, -78.91731766749966, 83.90383630335566, -24.007686577342305, -157.1060198934136, -9.725113785112878, -9.725113785112878, 34.4714303720169, 15.099170163410552, 13.04872535550513, 13.04872535550513, 93.76570282548155, 25.298919816083348, -8.722795072737824, -19.567324244684958, -55.94113903692366, 14.13983533901841, -6.9999999999999964, -81.98378007399822, 4.3870039022375344)",1686653575335353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.00045241829688791313, 0.12205511998744129, 0.04763520226527851, -0.0037398466909371914, -0.01409360488967687, 0.1321705647141337, 0.0397106546852377, 0.0014379043310814848, 0.008354063075213683, -0.0004818393640474983, 0.1137855996441533, 0.053750562251194435, -0.003096156212970413, 0.007156247502482449, 0.11006444850379465, 0.041765847708557, 0.01023369741453902, -0.008919746355092637, 0.009729607372184701, -0.005350828131773776, 0.009254988137113883, -0.005760700991739891, -0.010619990129855482, -0.013099079251719414)","(0.22120712376570315, 0.22120712376570315, 0.56815406443717, 0.004358450159225344, 0.3547352284059434, 0.3547352284059434, 0.47065149981004195, -0.00804962461435022, 0.005377411407873982, 0.39328558260625557, 0.39328558260625557, 0.6853295747558689, 0.004355272879042192, 0.3661655789738377, 0.3661655789738377, 0.4859863373376566, -0.013512671117044414, -0.0004001075307240991, -0.0002167332174042458, 0.00022080308467495606, 0.0021279880829163053, 0.0009233058076419667, 0.007296507408329157, -0.0004434321474977369)","(-13.658322166563254, -13.658322166563254, -45.12485875042179, -1.4455444306310556, -81.92356147111275, -81.92356147111275, 87.63177975847054, -23.895648802170793, -156.83316192178827, -7.027142591149726, -7.027142591149726, 33.50618358457171, 15.11650785626083, 15.389982546851105, 15.389982546851105, 99.26778219443905, 24.5684309995333, -8.918353879407887, -19.597328831684695, -55.66808005900227, 15.04102216159329, -6.9999999999999964, -82.77333190884397, 4.063190859962512)",1686653575343353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(0.00045241829688796864, 0.13399529476882144, 0.05157350279946802, -0.003712868410096429, -0.01409360488967687, 0.14106666041604654, 0.043845455250624644, 0.0013597422428831738, 0.00838941483282299, -0.0004818393640474983, 0.11517322890810638, 0.05878599621509011, -0.003054534006441545, 0.008050778440292727, 0.12229383167088298, 0.045499455276859425, 0.010133809445048441, -0.008939613396209026, 0.009630172820037176, -0.0053504680907619975, 0.0092534081813292, -0.0057671378693799616, -0.01045505353314476, -0.013102657098053243)","(0.3045046792897699, 0.3045046792897699, 0.5569836223388411, 0.004202212156174756, 0.37831675969005624, 0.37831675969005624, 0.4775298112854113, -0.008297978149730515, 0.005234253876278838, 0.3943759169907401, 0.3943759169907401, 0.6769388826888957, 0.004484048534807051, 0.3919965152759053, 0.3919965152759053, 0.48316952287974124, -0.013342544963472898, -0.0007387242473265527, -0.002108608428935667, 0.00019113545950945866, 0.001717828737397147, 0.0006587168753771469, 0.009307428335381132, -0.00042941416597190666)","(-7.068911727775337, -7.068911727775337, -46.246445479876165, -2.2178578996205047, -84.56374776900395, -84.56374776900395, 91.04790268955159, -23.57628999182848, -156.60228062719858, -3.869250318669825, -3.869250318669825, 32.32517374233114, 15.139419183467947, 17.65782481035136, 17.65782481035136, 104.40140175536531, 23.745385190512277, -9.040803541063836, -19.54821135244026, -55.404375103930946, 15.246191319139022, -6.9999999999999964, -81.59669009745457, 4.682547521016414)",1686653575351353034
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(0.00045241829688796864, 0.13930203911610145, 0.05543131914656852, -0.0036682408136760373, -0.013452986485600615, 0.14869188530340038, 0.047907207135338754, 0.0012935065873337693, 0.00842096088583438, -0.0004818393640474983, 0.12349900449182494, 0.06307804596203288, -0.0030195311336127803, 0.008050778440292727, 0.13452321483797125, 0.0494430968283727, 0.010059222473403765, -0.008945480662573172, 0.00965458806165646, -0.0053504649553966655, 0.009254910912712631, -0.005764583871754737, -0.01048206684788154, -0.01310643731240612)","(0.36908079620679, 0.36908079620679, 0.5458623114755469, 0.004403899448632626, 0.3983059944302398, 0.3983059944302398, 0.4819835234068698, -0.008292001375504019, 0.00506328920219791, 0.3936356716235185, 0.3936356716235185, 0.656004699114461, 0.004456161052758853, 0.4189552962442451, 0.4189552962442451, 0.4846442749958373, -0.01274518863717209, -0.0007367699151801619, -0.0013191829451996756, 0.00016164791777420625, 0.0014629999490786674, 0.0005947224063446781, 0.0073323697428739525, -0.0004336079268032154)","(-1.1735854179213008, -1.1735854179213008, -47.92197994532489, -3.034381526382406, -87.11010596199168, -87.11010596199168, 94.13332454707978, -23.378331672140966, -156.32469213030188, -0.2935087315329219, -0.2935087315329219, 31.38803521494806, 14.896188138808673, 19.122302663605037, 19.122302663605037, 108.851865626097, 23.2126794637221, -9.105742282521694, -19.61510584479198, -55.144512018810374, 14.497428499586311, -6.9999999999999964, -81.09772969474722, 4.354524600511271)",1686653575359353034
