name,position,velocity,effort,timestamp_nsecs
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.0012772007385453144, -0.0004380274635114034, 3.6684636042672025e-05, -4.481027177005714e-05, -0.001277205950499738, -0.0004380425010368505, 3.6653725244306656e-05, 4.480864500022719e-05, 5.4139192271041026e-05, -0.001277201646222803, -0.0004380300297723849, 3.6676599559637424e-05, -4.4810379722814986e-05, -0.0012772007411365749, -0.00043802746344523413, 3.668464090722523e-05, 4.4809833343428807e-05, -1.5083372446600407e-05, -0.0028631475585858546, 2.9989515111239484e-06, 1.0694156439505775e-05, -5.906784972253831e-08, 0.0009635995853853885, 0.006940996614458683)","(0.00388990731666637, 0.02228441796588511, 0.03472065432908934, 1.8173373359652105e-06, 0.003889964477489198, 0.022285681384796335, 0.03472469508734104, -1.8076374502319464e-06, -0.00017926891660715019, 0.003889898377839945, 0.0222846725998717, 0.03472161334615973, 1.8213960985713958e-06, 0.003889907380375498, 0.02228441797788761, 0.03472065448854836, -1.8169916658197236e-06, 4.683252869719994e-06, 0.025630865850684744, -2.0314344311548522e-06, -6.871716990666315e-06, 5.9356611818822844e-08, -0.0005729969813328603, -0.0003233752842180149)","(0.05949025029423713, 0.05949025029423713, 0.0, 0.0, -0.00010326006393475163, -0.00010326006393475163, 0.0, 0.0, 0.0, 0.027487100152679557, 0.027487100152679557, 0.0, 0.0, -8.949600717895253e-05, -8.949600717895253e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4885216000078
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.0012529204869684563, -0.0002518493495942131, 0.00028655843995872843, -4.480663885342295e-05, -0.0012529253994082445, -0.00025185647688807933, 0.0002865524029087574, 4.4805043761364516e-05, 5.309168590983404e-05, -0.001252921445595856, -0.00025185031672192437, 0.000286556331158927, -4.480673436058069e-05, -0.0012529204893030332, -0.0002518493494090279, 0.0002865584460960413, 4.480620180702388e-05, -1.5066685715492412e-05, -0.002769209009076512, 2.989432911437717e-06, 1.066307285402246e-05, -5.875626918339094e-08, 0.0009601874782592112, 0.006939741001660504)","(0.006718708100749409, 0.055495336928260516, 0.07189630331758162, 6.466971306058404e-07, 0.006718786707367338, 0.05549752753028221, 0.07190316247935287, -6.392530011843789e-07, -0.0002872717875558326, 0.006718694357911698, 0.05549578010306404, 0.07189793872672193, 6.495360150862025e-07, 0.006718708164790442, 0.055495336965674616, 0.07189630368804402, -6.463522538707529e-07, 4.016548539921264e-06, 0.022791259224004774, -2.4745581464408925e-06, -8.013949480359102e-06, 8.297338995073312e-08, -0.0009398568771689551, -0.0003109726739619904)","(0.06602990563275556, 0.06602990563275556, 0.0, 0.0, -9.550838932065856e-05, -9.550838932065856e-05, 0.0, 0.0, 0.0, 0.029523516071646518, 0.029523516071646518, 0.0, 0.0, -8.955651822443507e-05, -8.955651822443507e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4885220000078
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.0012198807932004563, 9.683301188401217e-05, 0.0006907564400622235, -4.480642346127439e-05, -0.0012198853841156598, 9.683667895421522e-05, 0.0006907837625682589, 4.480485481961338e-05, 5.168200831340286e-05, -0.0012198818139954604, 9.683423004425151e-05, 0.0006907622722667206, -4.480651009863834e-05, -0.0012198807952863433, 9.68330123600758e-05, 0.0006907564483373818, 4.480598779199596e-05, -1.5052186101538467e-05, -0.002685856899236061, 2.97878171462429e-06, 1.0629129219896782e-05, -5.838353267506591e-08, 0.0009555248284622841, 0.006938527994380994)","(0.008711925657697421, 0.09849602473356288, 0.11089249192008732, -1.1662527447162415e-07, 0.00871200536745804, 0.09849887241560795, 0.11090125782281894, 1.2304939940252755e-07, -0.00037244813055800716, 0.00871190968948356, 0.09849660119369828, 0.11089457662468676, -1.14587604453922e-07, 0.008711925719054353, 0.09849602482031525, 0.11089249251136082, 1.1696931920339589e-07, 3.505063825695851e-06, 0.020207573459597113, -2.711971216650419e-06, -8.607151744553198e-06, 9.588080955922382e-08, -0.0012355287482345447, -0.00030083194623424606)","(0.07179160683640134, 0.07179160683640134, 0.0, 0.0, -8.823427577003273e-05, -8.823427577003273e-05, 0.0, 0.0, 0.0, 0.03115130073240178, 0.03115130073240178, 0.0, 0.0, -8.96003088660687e-05, -8.96003088660687e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4885224000078
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.0011808950388543238, 0.0006436315678883808, 0.0012546933623229783, -4.4808433929954816e-05, -0.0011808993399187173, 0.0006436479816329665, 0.0012547594364842318, 4.480689049923825e-05, 4.998755954588319e-05, -0.0011808961254038408, 0.0006436353606336098, 0.0012547083590082053, -4.480851407784314e-05, -0.0011808950407079521, 0.0006436315689435368, 0.001254693373720528, 4.480799963424431e-05, -1.5039397204930083e-05, -0.0026121180209242034, 2.9675940185214245e-06, 1.0593907482370213e-05, -5.7980671375190695e-08, 0.0009498616904966006, 0.0069373507972372295)","(0.010042102126685848, 0.1501008915553296, 0.15109027491948604, -6.135229099952645e-07, 0.010042171496509765, 0.15010417432223636, 0.15110021517865319, 6.198511181191041e-07, -0.00043928210556016037, 0.01004208564637724, 0.15010155392926938, 0.1510926205247317, -6.120215969524154e-07, 0.010042102183412505, 0.1501008917222004, 0.15109027576693826, 6.138660802372083e-07, 3.1021512042900187e-06, 0.017863000086149265, -2.81636904294125e-06, -8.848142277235888e-06, 1.0186563046252344e-07, -0.0014712464496440614, -0.0002922262513815257)","(0.07675404084225018, 0.07675404084225018, 0.0, 0.0, -8.133513359716456e-05, -8.133513359716456e-05, 0.0, 0.0, 0.0, 0.032389132621918976, 0.032389132621918976, 0.0, 0.0, -8.963314655440431e-05, -8.963314655440431e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4885228000078
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.001138206933970043, 0.0014193244704912011, 0.001981439199051138, -4.481189053961998e-05, -0.0011382110049655836, 0.0014193548016265822, 0.0019815468896662303, 4.4810374013160015e-05, 4.807235599013637e-05, -0.001138208084791703, 0.001419331056681905, 0.001981463923860005, -4.481196581718194e-05, -0.0011382069356145053, 0.0014193244725535514, 0.001981439214751024, 4.481145761392469e-05, -1.5027982620097191e-05, -0.0025470855926794655, 2.9562610515121435e-06, 1.0558437321783742e-05, -5.756800591782962e-08, 0.0009434132885295377, 0.006936204786894606)","(0.010842595702343022, 0.20909546678262528, 0.19191463776192347, -9.360706986224754e-07, 0.010842648962825498, 0.20909899724007752, 0.19192515094223633, 9.429760244850716e-07, -0.0004907958963060958, 0.010842579848333542, 0.20909617394276764, 0.19191708658782358, -9.349364251231997e-07, 0.010842595753177661, 0.20909546706601267, 0.19191463891863003, 9.364129565703088e-07, 2.7762016020394276e-06, 0.01574101313519305, -2.8329289154533756e-06, -8.858489467265688e-06, 1.0329268129982403e-07, -0.0016549916434602607, -0.00028466606159593944)","(0.0809083617806996, 0.0809083617806996, 0.0, 0.0, -7.476760149310775e-05, -7.476760149310775e-05, 0.0, 0.0, 0.0, 0.03325843904008982, 0.03325843904008982, 0.0, 0.0, -8.965879842614451e-05, -8.965879842614451e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4885232000078
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.001093615983490448, 0.002449796141357652, 0.0028719028209347464, -4.481628278885097e-05, -0.0010936198961393195, 0.0024498408920172743, 0.0028720528957335567, 4.481479690232604e-05, 4.599119057369094e-05, -0.0010936171937352412, 0.0024498055912469674, 0.002871937284194992, -4.481635432274089e-05, -0.0010936159849515015, 0.002449796145017835, 0.002871902842373597, 4.4815851229618175e-05, -1.501770097833699e-05, -0.0024899176900907705, 2.9450458485236197e-06, 1.0523405142848219e-05, -5.715912676507173e-08, 0.0009363694571398185, 0.006935086802978052)","(0.011217743974398307, 0.27425479970165173, 0.23283705726260823, -1.144442934985373e-06, 0.011217778929132723, 0.27425841694167924, 0.23284764287872264, 1.1523845655401489e-06, -0.0005290924323435727, 0.01121772950198464, 0.27425551575685275, 0.23283947707674404, -1.1435657154494196e-06, 0.01121774401848697, 0.2742548001434757, 0.2328370587960329, 1.1447842502010692e-06, 2.5057408601786032e-06, 0.013825512812580957, -2.790012525681613e-06, -8.71399310542045e-06, 1.016527636737175e-07, -0.0017926444579104488, -0.0002778216489902584)","(0.0842571248423116, 0.0842571248423116, 0.0, 0.0, -6.852423707845673e-05, -6.852423707845673e-05, 0.0, 0.0, 0.0, 0.03378288985197329, 0.03378288985197329, 0.0, 0.0, -8.96797244942874e-05, -8.96797244942874e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4885236000078
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.0010485705901173148, 0.003756046325020801, 0.0039250234221892555, -4.482127612837061e-05, -0.001048574418033521, 0.003756105419744582, 0.003925214897504414, 4.481982588000477e-05, 4.3792225581373856e-05, -0.0010485718527117882, 0.0037560585793037227, 0.003925067171792307, -4.482134472016952e-05, -0.0010485705914242693, 0.003756046331053753, 0.003925023451111009, 4.4820845931159425e-05, -1.500837564361035e-05, -0.0024398351983641042, 2.9341299496721263e-06, 1.0489280688918967e-05, -5.6763331812703655e-08, 0.0009289006737325245, 0.006933994670667243)","(0.01125033175621658, 0.3443603228405034, 0.2733772642374, -1.2779689609410233e-06, 0.011250348415553732, 0.3443638876712713, 0.27338750410669815, 1.2872160255018968e-06, -0.0005557038878033637, 0.01125031916360591, 0.34436101653053336, 0.2733795447320157, -1.2772757409985842e-06, 0.011250331792922307, 0.34436032348843776, 0.2733772662278459, 1.2783093109077188e-06, 2.276125124492168e-06, 0.012100937291902826, -2.7057548863382868e-06, -8.46276723241059e-06, 9.790155529997398e-08, -0.0018887485393998275, -0.0002714708682312463)","(0.0868132344521778, 0.0868132344521778, 0.0, 0.0, -6.261833629341102e-05, -6.261833629341102e-05, 0.0, 0.0, 0.0, 0.03398791388184485, 0.03398791388184485, 0.0, 0.0, -8.969753070391932e-05, -8.969753070391932e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4885240000078
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.0010042374122209985, 0.0053542619872559705, 0.005137966792366999, -4.4826651020457575e-05, -0.0010042412248441046, 0.005354334851246811, 0.005138197225798002, 4.4825241961810036e-05, 4.1518583771438244e-05, -0.0010042387186399715, 0.005354276874471431, 0.005138018993966931, -4.482671725147824e-05, -0.0010042374134044962, 0.005354261996645793, 0.005137966830873086, 4.482622218171528e-05, -1.499987429198768e-05, -0.0023961194004207265, 2.923641716279235e-06, 1.045639336538784e-05, -5.6387116309508656e-08, 0.000921161838826734, 0.006932926879337664)","(0.011007066975359445, 0.4182151788327606, 0.3131042700149295, -1.362357240989101e-06, 0.01100706666892598, 0.41821857103696847, 0.31311381651291376, 1.3730061337693453e-06, -0.0005718139371323635, 0.01100705658598817, 0.41821582316947903, 0.3131063203771062, -1.361798102200897e-06, 0.01100706700413753, 0.4182151797403498, 0.3131042725543271, 1.3626966101600101e-06, 2.0773142531547643e-06, 0.010552347302566002, -2.5920952426236107e-06, -8.136256639374551e-06, 9.266807963009762e-08, -0.0019470152320317303, -0.0002654639872421085)","(0.0885988977864095, 0.0885988977864095, 0.0, 0.0, -5.7074074899290806e-05, -5.7074074899290806e-05, 0.0, 0.0, 0.0, 0.033900241091128616, 0.033900241091128616, 0.0, 0.0, -8.971326500601287e-05, -8.971326500601287e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4885244000078
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.0009615574664194604, 0.00725594589899492, 0.00650632366849635, -4.483226311480237e-05, -0.0009615613237388132, 0.007256031529121909, 0.006506589417362818, 4.483090070817042e-05, 3.9209306276433153e-05, -0.0009615588065949865, 0.007255963151936218, 0.006506383178050079, -4.483232741359089e-05, -0.000961557467512808, 0.007255945912955752, 0.0065063237190861045, 4.483183563053217e-05, -1.4992095143995243e-05, -0.002358109296928923, 2.9136734678303355e-06, 1.0424978111434058e-05, -5.60350819078792e-08, 0.0009132945892789124, 0.006931882366294939)","(0.010540523546491685, 0.4946580069722426, 0.35163672484618275, -1.414415170577854e-06, 0.010540509240297573, 0.4946611237470724, 0.35164529322834925, 1.4264049891987711e-06, -0.0005783974950461297, 0.010540515874239561, 0.49465857902220767, 0.3516384719850458, -1.413954871454243e-06, 0.010540523567082485, 0.4946580081986847, 0.3516367280365811, 1.4147535489001043e-06, 1.9023719180410535e-06, 0.00916548761149153, -2.4572234283601667e-06, -7.755890676072153e-06, 8.638204824658046e-08, -0.001970649661110824, -0.0002597000025803726)","(0.08964458067696286, 0.08964458067696286, 0.0, 0.0, -5.192013991155944e-05, -5.192013991155944e-05, 0.0, 0.0, 0.0, 0.03354747319531911, 0.03354747319531911, 0.0, 0.0, -8.972761079326329e-05, -8.972761079326329e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4885248000078
"['rh_FFJ1', 'rh_FFJ2', 'rh_FFJ3', 'rh_FFJ4', 'rh_LFJ1', 'rh_LFJ2', 'rh_LFJ3', 'rh_LFJ4', 'rh_LFJ5', 'rh_MFJ1', 'rh_MFJ2', 'rh_MFJ3', 'rh_MFJ4', 'rh_RFJ1', 'rh_RFJ2', 'rh_RFJ3', 'rh_RFJ4', 'rh_THJ1', 'rh_THJ2', 'rh_THJ3', 'rh_THJ4', 'rh_THJ5', 'rh_WRJ1', 'rh_WRJ2']","(-0.0009213576931794698, 0.009468097173311651, 0.00802430782150676, -4.4838017220882875e-05, -0.0009213616340333353, 0.009468194204440561, 0.008024604277522052, 4.48367062571009e-05, 3.6899930115907864e-05, -0.0009213590523340365, 0.009468116444643293, 0.008024373251817707, -4.483807990318667e-05, -0.0009213576942141977, 0.009468097193310765, 0.008024307887113391, 4.483759108708796e-05, -1.4984957680486133e-05, -0.0023251987397423513, 2.9042918985311417e-06, 1.0395203069002434e-05, -5.5710493107596903e-08, 0.0009054287204448563, 0.006930860371280989)","(0.009869667621962876, 0.5725758047250247, 0.38864271423110786, -1.4451320215672336e-06, 0.009869644958300259, 0.5725785595847502, 0.3886500771556139, 1.4582607169094306e-06, -0.0005763030650693524, 0.009869663934310569, 0.5725762854033332, 0.38864410135229244, -1.444744819021339e-06, 0.009869667634726041, 0.5725758063345321, 0.3886427181826818, 1.4454694031596628e-06, 1.7464552857853654e-06, 0.007926829002879261, -2.3070446525641056e-06, -7.337042932501335e-06, 7.935072028060862e-08, -0.0019625436375624765, -0.0002541106903418908)","(0.08998860035662898, 0.08998860035662898, 0.0, 0.0, -4.7185821734751035e-05, -4.7185821734751035e-05, 0.0, 0.0, 0.0, 0.032957683124726515, 0.032957683124726515, 0.0, 0.0, -8.974101324449284e-05, -8.974101324449284e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4885252000078
